name,epigenetics
1,00000000000000000000000000000000
2,00000000000000000000000000000000
3,00000000000000000000000000000000
4,11111111111111111111111111111111
5,00000000000000000000000000000000
6,11111111111111111111111111111111
7,00000000000000000000000000000000
8,00000000000000000000000000000000
9,00000000000000000000000000000000
10,11111111111111111111111111111111
11,00000000000000000000000000000000
12,11111111111111111111111111111111
13,00000000000000000000000000000000
14,00000000000000000000000000000000
15,00000000000000000000000000000000
16,11111111111111111111111111111111
17,00000000000000000000000000000000
18,11111111111111111111111111111111
19,00000000000000000000000000000000
20,00000000000000000000000000000000
21,00000000000000000000000000000000
22,00000000000000000000000000000000
23,00000000000000000000000000000000
24,00000000000000000000000000000000
25,00000000000000000000000000000000
26,11111111111111111111111111111111
27,00000000000000000000000000000000
28,11111111111111111111111111111111
29,00000000000000000000000000000000
30,11111111111111111111111111111111
31,00000000000000000000000000000000
32,00000000000000000000000000000000
33,00000000000000000000000000000000
34,00000000000000000000000000000000
35,00000000000000000000000000000000
36,00000000000000000000000000000000
37,11111111111111111111111111111111
38,11111111111111111111111111111111
39,00000000000000000000000000000000
40,00000000000000000000000000000000
41,00000000000000000000000000000000
42,11111111111111111111111111111111
43,00000000000000000000000000000000
44,11111111111111111111111111111111
45,00000000000000000000000000000000
46,00000000000000000000000000000000
47,00000000000000000000000000000000
48,11111111111111111111111111110000
49,11111111111111111111111111111111
50,11111111111111111000000000000000
51,00000000000000000000000000000000
52,00000000000000000000000000000000
53,00000000000000000000000000000000
54,11111111111111111111111111111111
55,00000000000000000000000000000000
56,00000000000000000000000000000000
57,00000000000000000000000000000000
58,00000000000000000000000000000000
59,11111111111111111111111111111111
60,00000000000000000000000000000000
61,00000000000000000000000000000000
62,11111111111111111111111111111111
63,11111111111111111111111111111111
64,00000000000000000000000000000000
65,00000000000000000000000000000000
66,11111111111111111111111111111111
67,11111111111111111111111111111111
68,00000000000000000000000000000000
69,00000000000000000000000000000000
70,00000000000000000000000000000000
71,00000000000000000000000000000000
72,00000000000000000000000000000000
73,11111111111111111111111111111111
74,11111111111111111111111111111111
75,00000000000000000000000000000000
76,00000000000000000000000000000000
77,00000000000000000000000000000000
78,11111111111111111111111111111111
79,00000000000000000000000000000000
80,11111111111111111111111111111111
81,00000000000000000000000000000000
82,00000000000000000000000000000000
83,11111111111111111111111111111111
84,00000000000000000000000000000000
85,00000000000000000000000000000000
86,11111111111111111111111111111111
87,11111111111111111111111111111111
88,11111111111111111111111111111111
89,00000000000000000000000000000000
90,00000000000000000000000000000000
91,00000000000000000000000000000000
92,00000000000000000000000000000000
93,11111111111111111111111111111111
94,00000000000000000000000000000000
95,11111111111111111111111111111111
96,11111111111111111111111111111111
